Outcome,Factor,CorrDet
Well-being,Needs,0.23304502541779237
Well-being,Autonomy,0.2246317116650408
Well-being,Belonging,0.1769891863041494
Well-being,Competence,0.0787870673755956
Well-being,Leadership,0.1582759552813734
Well-being,Understands,0.15777122970883473
Well-being,Encourages,0.09098792163772074
Well-being,Listens,0.1303147842047392
Well-being,Management,0.2063598375112251
Well-being,Returns,0.09242244439808434
Well-being,Rewards,0.14140071257772358
Well-being,Status,0.17028667973190703
Satisfied,Needs,0.4635648260623646
Satisfied,Autonomy,0.37444723111089584
Satisfied,Belonging,0.3604082971524716
Satisfied,Competence,0.21869124813070517
Satisfied,Leadership,0.2893883957739374
Satisfied,Understands,0.25137097343631787
Satisfied,Encourages,0.195641326244816
Satisfied,Listens,0.23826902853531584
Satisfied,Management,0.401223813552983
Satisfied,Returns,0.24661972958792377
Satisfied,Rewards,0.25090763179795605
Satisfied,Status,0.2891148913931729
Meaning,Needs,0.34317100699998315
Meaning,Autonomy,0.21930716961004426
Meaning,Belonging,0.3637300575935922
Meaning,Competence,0.12655249514367894
Meaning,Leadership,0.20492432078141554
Meaning,Understands,0.17595021990891768
Meaning,Encourages,0.14172651155492522
Meaning,Listens,0.16439139409153702
Meaning,Management,0.28704014094973107
Meaning,Returns,0.21778432757460697
Meaning,Rewards,0.13648537898641733
Meaning,Status,0.235902600554858
Values,Needs,0.38211700110537017
Values,Autonomy,0.2659887919151379
Values,Belonging,0.37373191165978503
Values,Competence,0.1403817590800278
Values,Leadership,0.26103000342624005
Values,Understands,0.2351168839989335
Values,Encourages,0.1696176278352577
Values,Listens,0.21386619830561882
Values,Management,0.3366412309348046
Values,Returns,0.2194157311671575
Values,Rewards,0.1806387509690205
Values,Status,0.2784625167226804
Ideas,Needs,0.32376212593255005
Ideas,Autonomy,0.21741153884348974
Ideas,Belonging,0.25492938534058873
Ideas,Competence,0.20614463457565657
Ideas,Leadership,0.13991052186822028
Ideas,Understands,0.10307711971335476
Ideas,Encourages,0.1005403172406314
Ideas,Listens,0.1280702006620753
Ideas,Management,0.23716970558192607
Ideas,Returns,0.20822946065351022
Ideas,Rewards,0.0912839267285086
Ideas,Status,0.2110440569461366
Stay,Needs,0.2834238823109422
Stay,Autonomy,0.2313062588228797
Stay,Belonging,0.21249665587631672
Stay,Competence,0.14319029660820226
Stay,Leadership,0.16187738463844747
Stay,Understands,0.15544464782489387
Stay,Encourages,0.10397461983146417
Stay,Listens,0.12698021195364606
Stay,Management,0.29688828045493065
Stay,Returns,0.18793753625991372
Stay,Rewards,0.15218667192699908
Stay,Status,0.26061949717381594
