Outcome,Factor,CorrCoef
Well-being,Needs,0.3527242583393484
Well-being,Autonomy,0.2965270840769726
Well-being,Belonging,0.35618454651965104
Well-being,Competence,0.30086104680129183
Well-being,Leadership,0.30734401591842564
Well-being,Understands,0.2446250353682264
Well-being,Encourages,0.31284309235957225
Well-being,Listens,0.3029131314759766
Well-being,Management,0.3418709311008767
Well-being,Returns,0.22292938515741023
Well-being,Rewards,0.3414853208858335
Well-being,Status,0.24923944123136071
Satisfied,Needs,0.7387245164375722
Satisfied,Autonomy,0.6751019893181013
Satisfied,Belonging,0.67504679757535
Satisfied,Competence,0.6567812804705752
Satisfied,Leadership,0.5960283720086474
Satisfied,Understands,0.5239000449258243
Satisfied,Encourages,0.5687647683950953
Satisfied,Listens,0.5713357059906958
Satisfied,Management,0.6984521481627163
Satisfied,Returns,0.6810167722301594
Satisfied,Rewards,0.5421436804802617
Satisfied,Status,0.5153557715099668
Meaning,Needs,0.7371730012452108
Meaning,Autonomy,0.6461429551886024
Meaning,Belonging,0.7095419942156719
Meaning,Competence,0.6375451414341654
Meaning,Leadership,0.6150764640723883
Meaning,Understands,0.5406119789814955
Meaning,Encourages,0.5830165769861221
Meaning,Listens,0.5950813422599364
Meaning,Management,0.6906300076562333
Meaning,Returns,0.6628025398117245
Meaning,Rewards,0.5275550455085745
Meaning,Status,0.5387781564888309
Values,Needs,0.5731799733120299
Values,Autonomy,0.5016181579250822
Values,Belonging,0.5682416981962594
Values,Competence,0.47631962664883165
Values,Leadership,0.5760664152324526
Values,Understands,0.5725100992782967
Values,Encourages,0.538801120004801
Values,Listens,0.4971862996211739
Values,Management,0.5965528308586597
Values,Returns,0.511342376415116
Values,Rewards,0.5062952498873221
Values,Status,0.4531907108398147
Ideas,Needs,0.6137211842973437
Ideas,Autonomy,0.5507041007717356
Ideas,Belonging,0.5719926865664198
Ideas,Competence,0.539501923815171
Ideas,Leadership,0.5361897513441849
Ideas,Understands,0.43761722433690203
Ideas,Encourages,0.4947982766241918
Ideas,Listens,0.5698786231031804
Ideas,Management,0.5671581325124675
Ideas,Returns,0.5035469908164116
Ideas,Rewards,0.3604295275541637
Ideas,Status,0.6058136756962252
Stay,Needs,0.5795155131283267
Stay,Autonomy,0.5230634853821101
Stay,Belonging,0.539145595642362
Stay,Competence,0.5164675534631865
Stay,Leadership,0.49328311703288175
Stay,Understands,0.46360117333521866
Stay,Encourages,0.45028815635333275
Stay,Listens,0.464411720489552
Stay,Management,0.559875271194349
Stay,Returns,0.5390485990285439
Stay,Rewards,0.45697954268869995
Stay,Status,0.38317085119805766
